1|毛泽东|毛泽东|毛泽东|印度教|毛泽东其他称谓|good remain1|fine remain2|0|19310804|0|湖南省湘潭市|51809090|15890903748|0755-29208489-909|wf@163.com|CHN|00|340505193108045974|1|20111021|很好，操作数据库添加的咯|0|||0||0|
2011102590000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19820112|0|SHENZHENNANSHAN|518000|15530661315|075276654574|930211458@qq.com|CHN|00|147706198201127412|0|20180320||0|||0|4|0|
2011102590000006|TEST_NAME|TEST_OLD_NAME111|TEST_BY_NAME111|TITLE|OTHER_TITLE|11111|22222|10|19800605|0|SHENZHENNANSHAN|518000|13120197640|02972497130|400212517@qq.com|CHN|00|157444198006054274|1|20180320||10211221111|||0|6|0|
2016012200000001|wwwwww123||||||||0|||||||CHN|||1|20160122||0|||0|1|0|
2016012200000002|wwwwww1234||||||||0||||||||00|511423198601180099|1|20160122||0|||0|4|0|
2016012200000003|QQQQQ8|QQQQQQ|QQQQQQ|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|511423198601180099|1|20160122|20160118|30692593|||0|1|0|
2016012200000004|高玉军7|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|511423198601180099|1|20160122|20160118|0|||0|4|0|
2016012200000005|frank6|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||01|511423198601180099|1|20160122|20160118|0|||0|1|0|
2016012200000006|allen5|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||02|511423198601180099|1|20160122|20160118|0|||0|1|0|
2016012200000007|eric13|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||04|511423198601180099|1|20160122|20160118|10100000016|||0|1|0|
2016012200000010|wwwwww123||||||||0||||||||00|511423198601180099|1|20160122||0|||0|4|0|
2016012200000011|dsdsds||||||||0||||||||00|130101198601220031|1|20160122||0|||0|4|0|
2016012300000001|wwwqqq|QQQQQQ|QQQQQQ|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|630101198601230377|1|20160123|1|30692593|||0|1|0|
2016012300000009|我问问|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|63010119860123049X|1|20160123|1|0|||0|2|0|
2016012300000010|我333222|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||01|630101198601230414|1|20160123|1|0|||0|3|0|
2016012300000011|a发发发|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||02|630101198601230473|1|20160123|1|0|||0|4|0|
2016012300000012|ddd啊啊啊|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||03|630101198601230457|1|20160123|1|0|||0|5|0|
2016012300000013|eric13|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||04|630101198601230430|1|20160123|1|10100000016|||0|6|0|
2016012300000014||股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|630101198601230510|1|20160123|1|10100000016|||0|2|0|
2016012300000015|点点点点点点|股神|法律|哈哈|哈哈|11|19690121|1|0|1|222222|333333|jobs@apple.com|20160113|no||00|63010119860123057X|1|20160123|1|10100157702|||0|6|0|
2016012300000016|反反复复|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||00|630101198601230617|1|20160123|1|10100000016|||0|4|0|
2016012300000018|我333222|股神|法律|哈哈|哈哈|11|19690121|0|0|1|222222|333333|jobs@apple.com|20160112|no||10|630101198601230414|1|20160123|1|0|||0|3|0|
2016012500000003|||||||||0||||||||00|444444|1|20160125||0|||-1|2|0|
2016012500000004|||||||||0||||||||00|444444|1|20160125||0|||-1|3|0|
2016012500000005|EEEEEE||||||||0||||||||00|444444|1|20160125||0|||-1|4|0|
2016012500000006|EEEEEE|FFF|GGG||||||0||||||||00|444444|1|20160125||0|||-1|5|0|
2016012500000007|||||||||0||||||||||1|20160125||10100157656|||-1|6|0|
2016012500000008|协议客户||||||||0||||||||00|630101198601230633|1|20160125||10100157656|||0|1|0|
2016012500000009|rrrrrr1||||||||0||||||||01|620101198901230094|1|20160125||10100157656|||0|2|0|
2016012500000010|rrrrrr2||||||||0||||||||00|620101198901230094|1|20160125||10100157656|||0|3|0|
2016012500000011|协议客户||||||||0||||||||00|620101198901230094|1|20160125||10100157656|||0|4|0|
2016012500000012|rrrrrr2|协议客户|协议客户||||||0||||||||00|620101198901230094|1|20160125||10100157656|||0|5|0|
2016012500000013|dddddd|vvvvvv|gggggg||||||0||||||||00|511423198601250296|1|20160125||0|||-1|5|0|
2016012700000009|乔布斯|比尔|盖茨|帮主|基督教|||0|19540101|1|加里福尼亚硅谷|11111111|112345677|112345677|jobs@apple.com|USA|00|110105196210223836|1|20160127||0|||0|1|0|
2016012700000010|123123444||||||||0||||||||01|511423198001270015|1|20160127||1231231|||0|1|0|
2016012700000011|123123444||||||||0||||||||02|511423198001270031|1|20160127||1231232|||0|2|0|
2016012700000012|123123444||||||||0||||||||03|511423198001270058|1|20160127||1231233|||0|3|0|
2016012700000013|123123444||||||||0||||||||06|511423198001270111|1|20160127||1231236|||0|6|0|
2016012700000014|123123444||||||||0||||||||10|511423198001270138|1|20160127||1231237|||0|4|0|
2016102700000002|姜个人001||||||||0||||||||00|540101199010290282|2|20171204||0|||-1|7|0|
2017022100000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19870628|0|SHENZHENNANSHAN|518000|13856115174|075974172786|876464869@qq.com|CHN|00|97262119870628821X|1|20170221||0|||0|4|0|
2017022100000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19831115|0|SHENZHENNANSHAN|518000|13875883905|075619661669|907141562@qq.com|CHN|00|100760198311152832|1|20170221||0|||0|2|0|
2017022100000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19680409|1|SHENZHENNANSHAN|518000|18706377880|077931372893|182329220@qq.com|CHN|00|385227196804090805|1|20170221||0|||0|3|0|
2017022100000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19971025|1|SHENZHENNANSHAN|518000|15811879399|02502884711|596785220@qq.com|CHN|00|559404199710258203|1|20170221||0|||0|4|0|
2017022100000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19680607|0|SHENZHENNANSHAN|518000|18661907965|02917895395|171853040@qq.com|CHN|00|848986196806077315|2|20170221||0|||0|5|0|
2017022200000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19650703|0|SHENZHENNANSHAN|518000|13505671261|066366725464|500202193@qq.com|CHN|00|429697196507032155|2|20170222||0|||0|4|0|
2017022200000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19960818|1|SHENZHENNANSHAN|518000|13165013697|066094253156|729146325@qq.com|CHN|00|19939019960818112X|1|20170222||0|||0|2|0|
2017022200000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19850811|1|SHENZHENNANSHAN|518000|18798369887|075337010400|511447760@qq.com|CHN|00|336353198508119502|1|20170222||0|||0|3|0|
2017022200000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19880917|0|SHENZHENNANSHAN|518000|15537523423|075050066460|567375557@qq.com|CHN|00|742757198809179218|2|20170222||0|||0|4|0|
2017022200000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19830519|0|SHENZHENNANSHAN|518000|18608602339|077441814914|571453269@qq.com|CHN|00|729038198305194698|1|20170222||0|||0|5|0|
2017030300000001|||||||||0||||||||00|620422199106030061|1|20170303||0|||-1|2|0|
2017032900000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19780510|1|SHENZHENNANSHAN|518000|15502552979|02080549566|146348364@qq.com|CHN|00|174664197805100129|1|20170329||0|||0|4|0|
2017032900000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19371222|0|SHENZHENNANSHAN|518000|13108086949|075126860799|898205990@qq.com|CHN|00|461304193712228858|1|20170329||0|||0|2|0|
2017032900000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19620101|1|SHENZHENNANSHAN|518000|13555085198|076011993373|175453133@qq.com|CHN|00|660329196201016885|1|20170329||0|||0|3|0|
2017032900000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19640124|1|SHENZHENNANSHAN|518000|13110775919|02240863745|456396045@qq.com|CHN|00|610870196401244588|1|20170329||0|||0|4|0|
2017032900000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19990310|0|SHENZHENNANSHAN|518000|15541583501|077810813927|643027494@qq.com|CHN|00|846486199903102898|2|20170329||0|||0|5|0|
2017051600000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19780120|0|SHENZHENNANSHAN|518000|13198261492|0756-64740834|497920281@qq.com|CHN|00|707439197801208495|1|20170516||0|||0|4|0|
2017051600000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|03|19600905|0|SHENZHENNANSHAN|518000|18658510577|020-31796449|136615131@qq.com|CHN|00|556981196009050272|1|20170516||0|||0|2|0|
2017051600000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|07|19710923|1|SHENZHENNANSHAN|518000|18682376367|0751-27753270|86671938@qq.com|CHN|00|302396197109236863|1|20170516||0|||0|3|0|
2017051600000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19730822|1|SHENZHENNANSHAN|518000|17627507829|0753-20686486|309908017@qq.com|CHN|00|705234197308228164|1|20170516||0|||0|4|0|
2017051600000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19550320|0|SHENZHENNANSHAN|518000|18667460336|025-51745353|427050694@qq.com|CHN|00|353562195503200672|2|20170516||0|||0|5|0|
2017061700000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19870511|0|SHENZHENNANSHAN|518000|13677915185|0776-26513305|607736572@qq.com|CHN|00|546194198705116293|2|20170617||0|||0|4|0|
2017061700000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19830622|1|SHENZHENNANSHAN|518000|13272883832|0760-92775129|800877023@qq.com|CHN|00|377168198306225181|2|20170617||0|||0|2|0|
2017061700000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|07|19600623|1|SHENZHENNANSHAN|518000|13105358509|0662-12568330|741303562@qq.com|CHN|00|987262196006231362|2|20170617||0|||0|3|0|
2017061700000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19620911|1|SHENZHENNANSHAN|518000|13695492541|0757-65213896|844288977@qq.com|CHN|00|100576196209112843|1|20170617||0|||0|4|0|
2017061700000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19420104|1|SHENZHENNANSHAN|518000|18629042976|028-29048419|852584231@qq.com|CHN|00|793439194201045767|1|20170617||0|||0|5|0|
2017070300000001|QQQQQQ2||||||||0||||||||00|51150119950629003X|0|20170703||0|||-1|4|1|
2017072100000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19630120|1|SHENZHENNANSHAN|518000|18624373527|0662-19963585|554542206@qq.com|CHN|00|136202196301206383|1|20170721||0|||0|4|0|
2017072100000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19830316|0|SHENZHENNANSHAN|518000|13514407528|0758-01873709|828095024@qq.com|CHN|00|125936198303168251|1|20170721||0|||0|2|0|
2017072100000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19590508|1|SHENZHENNANSHAN|518000|15854574347|0750-36057646|824331195@qq.com|CHN|00|917852195905083183|2|20170721||0|||0|3|0|
2017072100000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19401225|0|SHENZHENNANSHAN|518000|18700608224|021-59909922|137097452@qq.com|CHN|00|908233194012259578|1|20170721||0|||0|4|0|
2017072100000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19870827|1|SHENZHENNANSHAN|518000|18600155635|0754-66748218|104233459@qq.com|CHN|00|699715198708274521|1|20170721||0|||0|5|0|
2017081800000001|CSDFFS||||||||0||||||||||1|20170818||0|||-1|1|0|
2017081800000002|||||||||0|||||||AFG|||1|20170818||0|||-1|8|0|
2017081800000003|郭筱|郭筱|郭筱||||||0|||||||CHN|||1|20170818||0|||-1|9|0|
2017081800000004|国税||||||||0|||||||CHN|00|511402198708140255|1|20170818||0|||-1|A|0|
2017081800000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19910211|1|SHENZHENNANSHAN|518000|13131911238|0757-06827750|858811309@qq.com|CHN|00|275812199102117125|1|20170818||0|||0|4|0|
2017081800000007|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|10|19711105|1|SHENZHENNANSHAN|518000|15846094237|0760-52631693|399949483@qq.com|CHN|00|10357419711105888X|1|20170818||0|||0|2|0|
2017081800000008|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|01|19740913|1|SHENZHENNANSHAN|518000|18774780476|029-42443908|376732754@qq.com|CHN|00|672805197409137541|1|20170818||0|||0|3|0|
2017081800000009|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19510421|0|SHENZHENNANSHAN|518000|18757470911|0773-05064246|34477550@qq.com|CHN|00|752724195104210335|2|20170818||0|||0|4|0|
2017081800000010|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19760922|0|SHENZHENNANSHAN|518000|18600906395|0756-05632712|667270105@qq.com|CHN|00|328360197609220158|2|20170818||0|||0|5|0|
2017091500000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|07|19850908|1|SHENZHENNANSHAN|518000|13893703444|02820580613|495683723@qq.com|CHN|00|551925198509085547|1|20170915||0|||0|4|0|
2017091500000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19770717|0|SHENZHENNANSHAN|518000|15620762681|076996390035|19745165@qq.com|CHN|00|566437197707171278|1|20170915||0|||0|2|0|
2017091500000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19910227|1|SHENZHENNANSHAN|518000|17643609419|02394602658|778546545@qq.com|CHN|00|760153199102272281|2|20170915||0|||0|3|0|
2017091500000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|10|19660107|0|SHENZHENNANSHAN|518000|15527715669|077281835388|800628885@qq.com|CHN|00|246211196601078514|1|20170915||0|||0|4|0|
2017091500000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19550825|0|SHENZHENNANSHAN|518000|13192198333|076887447991|805586965@qq.com|CHN|00|27417019550825365X|1|20170915||0|||0|5|0|
2017091500000008|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19851113|0|SHENZHENNANSHAN|518000|13155148835|077543847147|438601421@qq.com|CHN|00|424378198511135674|2|20170915||0|||0|4|0|
2017091500000010|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19410404|1|SHENZHENNANSHAN|518000|13230631656|02819411085|163700813@qq.com|CHN|00|269282194104043049|1|20170915||0|||0|2|0|
2017091500000011|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|10|19801026|0|SHENZHENNANSHAN|518000|13855115655|077258457543|91908054@qq.com|CHN|00|773416198010264414|1|20170915||0|||0|3|0|
2017091500000012|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19990224|1|SHENZHENNANSHAN|518000|13285315201|066081226780|701231646@qq.com|CHN|00|227179199902244283|1|20170915||0|||0|4|0|
2017091500000013|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|03|19420713|0|SHENZHENNANSHAN|518000|15629298797|075020784507|375824924@qq.com|CHN|00|857861194207131331|2|20170915||0|||0|5|0|
2017101900000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19770312|1|SHENZHENNANSHAN|518000|13234753352|076230722463|399974790@qq.com|CHN|00|383395197703123828|1|20171019||0|||0|4|0|
2017101900000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|10|19531014|0|SHENZHENNANSHAN|518000|13511393299|077794448757|220112702@qq.com|CHN|00|410822195310143877|1|20171019||0|||0|2|0|
2017101900000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19860118|1|SHENZHENNANSHAN|518000|17671264839|075492932134|723379367@qq.com|CHN|00|888419198601181046|2|20171019||0|||0|3|0|
2017101900000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19990519|0|SHENZHENNANSHAN|518000|13879197643|066249947830|504187864@qq.com|CHN|00|369669199905194290|1|20171019||0|||0|4|0|
2017101900000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19620927|1|SHENZHENNANSHAN|518000|13521960756|077103082866|121375361@qq.com|CHN|00|732910196209270207|2|20171019||0|||0|5|0|
2017101900000008|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19810522|1|SHENZHENNANSHAN|518000|13604584551|075630409099|202944535@qq.com|CHN|00|57506319810522616X|2|20171019||0|||0|2|0|
2017102000000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19960128|0|SHENZHENNANSHAN|518000|13898500770|076078887526|938029671@qq.com|CHN|00|61591419960128865X|2|20171020||0|||0|4|0|
2017102000000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|03|19550520|0|SHENZHENNANSHAN|518000|13676168177|077010848811|43011949@qq.com|CHN|00|379994195505201371|1|20171020||0|||0|2|0|
2017102000000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|01|19971001|1|SHENZHENNANSHAN|518000|13601025760|077780287839|381023062@qq.com|CHN|00|249654199710018447|1|20171020||0|||0|3|0|
2017102000000005|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|09|19420528|0|SHENZHENNANSHAN|518000|13870798883|077915389498|125632787@qq.com|CHN|00|730668194205284350|1|20171020||0|||0|4|0|
2017102000000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19780105|1|SHENZHENNANSHAN|518000|13195852640|075793899524|262337325@qq.com|CHN|00|70695019780105964X|1|20171020||0|||0|5|0|
2017102000000008|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|99|19750622|0|SHENZHENNANSHAN|518000|13679545854|077206880849|953261035@qq.com|CHN|00|208074197506224097|1|20171020||0|||0|4|0|
2017102000000010|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|03|19391006|0|SHENZHENNANSHAN|518000|13812406560|077239245343|470642102@qq.com|CHN|00|374670193910067056|1|20171020||0|||0|2|0|
2017102000000011|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19461121|0|SHENZHENNANSHAN|518000|13534204286|02011274835|748502433@qq.com|CHN|00|111826194611218212|2|20171020||0|||0|3|0|
2017102000000012|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|11|19660222|0|SHENZHENNANSHAN|518000|17640306530|077594260417|352076066@qq.com|CHN|00|307859196602227034|1|20171020||0|||0|4|0|
2017102000000013|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|0A|19690318|1|SHENZHENNANSHAN|518000|17689971362|02792724397|177076299@qq.com|CHN|00|384057196903182189|2|20171020||0|||0|5|0|
2017112700000003|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19440218|1|SHENZHENNANSHAN|518000|13877389083|02849753266|22021955@qq.com|CHN|00|949925194402188388|2|20171127||0|||0|4|0|
2017112700000005|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19701026|0|SHENZHENNANSHAN|518000|13548882008|02160796210|367405982@qq.com|CHN|00|505631197010261493|2|20171127||0|||0|2|0|
2017112700000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|07|19620422|1|SHENZHENNANSHAN|518000|13609906982|02486586379|263111708@qq.com|CHN|00|234658196204225166|2|20171127||0|||0|3|0|
2017112700000007|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|08|19500608|1|SHENZHENNANSHAN|518000|18658663879|077210024493|874168088@qq.com|CHN|00|560178195006089403|2|20171127||0|||0|4|0|
2017112700000008|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|0A|19820813|0|SHENZHENNANSHAN|518000|13159847248|076600509426|25685499@qq.com|CHN|00|544534198208139316|1|20171127||0|||0|5|0|
2017112800000003|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|||09|19440411|0|SHENZHENNANSHAN|518000|13586201278|066354823826|293068519@qq.com|CHN|00|235970194404118317|1|20180127||0||发的啥发生地方都是发生的发的所发生的发第三方斯蒂芬斯蒂芬撒旦范德萨发斯蒂芬斯蒂芬|-1|4|0|
2017112800000005|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|06|19390314|1|SHENZHENNANSHAN|518000|15566054686|075560744555|266994530@qq.com|CHN|00|897621193903148306|1|20171128||0|||0|2|0|
2017112800000006|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|0A|19911019|1|SHENZHENNANSHAN|518000|15678955814|076806582734|689845083@qq.com|CHN|00|618272199110192926|1|20171128||0|||0|3|0|
2017112800000007|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|03|19920606|0|SHENZHENNANSHAN|518000|15628888746|077709696560|607778509@qq.com|CHN|00|820652199206068477|1|20171128||0|||0|4|0|
2017112800000008|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|05|19960608|0|SHENZHENNANSHAN|518000|15577360118|077337117035|29702254@qq.com|CHN|00|621758199606082312|1|20171128||0|||0|5|0|
